Var,Domain,Labels,Type,VariableName,SEQ,SEND_3_1,SEND_3_1_1,DART1_1,DART1_2
pp.PPTESTCD,pp,Parameter Short Name,Variable,PPTESTCD,7,Y,Y,Y,
pp.PPTEST,pp,Parameter Name,Variable,PPTEST,8,Y,Y,Y,
pp.PPCAT,pp,Parameter Category,Variable,PPCAT,9,Y,Y,Y,
pp.PPSCAT,pp,Parameter Subcategory,Variable,PPSCAT,10,Y,Y,Y,
pp.PPORRES,pp,Result or Findings as Collected,Variable,PPORRES,11,Y,Y,Y,
pp.PPORRESU,pp,Unit of the Original Result,Variable,PPORRESU,12,Y,Y,Y,
pp.PPSTRESC,pp,Standardized Result in Character Format,Variable,PPSTRESC,13,Y,Y,Y,
pp.PPSTRESN,pp,Standardized Result in Numeric Format,Variable,PPSTRESN,14,Y,Y,Y,
pp.PPSTRESU,pp,Unit of the Standardized Result,Variable,PPSTRESU,15,Y,Y,Y,
pp.PPSTAT,pp,Completion Status,Variable,PPSTAT,16,Y,Y,Y,
pp.pp,pp,Pharmacokinetics Parameters,Domain,,17,Y,Y,Y,
pp.PPREASND,pp,Reason Not Done,Variable,PPREASND,17,Y,Y,Y,
pp.PPSPEC,pp,Specimen Material Type,Variable,PPSPEC,18,Y,Y,Y,
pp.VISITDY,pp,Planned Study Day of Collection,Variable,VISITDY,19,Y,Y,Y,
pp.PPNOMDY,pp,Nominal Study Day for Tabulations,Variable,PPNOMDY,20,Y,Y,Y,
pp.PPNOMLBL,pp,Label for Nominal Study Day,Variable,PPNOMLBL,21,Y,Y,Y,
pp.PPTPTREF,pp,Time Point Reference,Variable,PPTPTREF,22,Y,Y,Y,
pp.PPRFTDTC,pp,Date/Time of Reference Point,Variable,PPRFTDTC,23,Y,Y,Y,
pp.PPSTINT,pp,Start of Assessment Interval,Variable,PPSTINT,24,Y,Y,Y,
pp.PPENINT,pp,End of Assessment Interval,Variable,PPENINT,25,Y,Y,Y,
pp.RPHASE,pp,Repro Phase,Variable,RPHASE,26,,,Y,
pp.RPPLDY,pp,Planned Repro Phase Day of Observation,Variable,RPPLDY,27,,,Y,
pp.PPRPDY,pp,Actual Repro Phase Day of Observation,Variable,PPRPDY,28,,,Y,
py.STUDYID,py,Study Identifier,Variable,STUDYID,1,,,Y,
py.DOMAIN,py,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
py.USUBJID,py,Unique Subject Identifier,Variable,USUBJID,3,,,Y,
py.PYSEQ,py,Sequence Number,Variable,PYSEQ,4,,,Y,
py.PYTESTCD,py,Test Short Name,Variable,PYTESTCD,5,,,Y,
py.PYTEST,py,Pregnancy Result Test Name,Variable,PYTEST,6,,,Y,
py.PYORRES,py,Result or Findings as Collected,Variable,PYORRES,7,,,Y,
py.PYORRESU,py,Unit of the Original Result,Variable,PYORRESU,8,,,Y,
py.PYSTRESC,py,Standardized Results in Character Format,Variable,PYSTRESC,9,,,Y,
py.PYSTRESN,py,Standardized Results in Numeric Format,Variable,PYSTRESN,10,,,Y,
py.PYSTRESU,py,Unit of the Standardized Result,Variable,PYSTRESU,11,,,Y,
py.PYRESCAT,py,Result Category,Variable,PYRESCAT,12,,,Y,
py.PYRESLOC,py,Result Location of Finding,Variable,PYRESLOC,13,,,Y,
py.PYSTAT,py,Completion Status,Variable,PYSTAT,14,,,Y,
py.PYREASND,py,Reason Not Done,Variable,PYREASND,15,,,Y,
py.PYMETHOD,py,Method of Test or Examination,Variable,PYMETHOD,16,,,Y,
py.PYEXCLFL,py,Exclusion Flag,Variable,PYEXCLFL,17,,,Y,
py.PYREASEX,py,Reason for Exclusion,Variable,PYREASEX,18,,,Y,
py.RPHASE,py,Repro Phase,Variable,RPHASE,19,,,Y,
py.RPPLDY,py,Planned Repro Phase Day,Variable,RPPLDY,20,,,Y,
py.PYDTC,py,Date/Time,Variable,PYDTC,21,,,Y,
py.PYDY,py,Study Day,Variable,PYDY,22,,,Y,
py.PYRPDY,py,Actual Repro Phase Day,Variable,PYRPDY,23,,,Y,
py.py,py,Nonclinical Pregnancy Results,Domain,,38,,,Y,
re.STUDYID,re,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
re.DOMAIN,re,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
re.USUBJID,re,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
re.RESEQ,re,Sequence Number,Variable,RESEQ,4,Y,Y,Y,
re.REGRPID,re,Group Identifier,Variable,REGRPID,5,Y,Y,Y,
re.RESPID,re,Sponsor-Defined Identifier,Variable,RESPID,6,Y,Y,Y,
re.RETESTCD,re,Test Short Name,Variable,RETESTCD,7,Y,Y,Y,
re.RETEST,re,Test Name,Variable,RETEST,8,Y,Y,Y,
re.REPOS,re,Position of Subject During Test,Variable,REPOS,9,Y,Y,Y,
re.REORRES,re,Result or Findings as Collected,Variable,REORRES,10,Y,Y,Y,
re.REORRESU,re,Unit of the Original Result,Variable,REORRESU,11,Y,Y,Y,
re.RESTRESC,re,Standardized Result in Character Format,Variable,RESTRESC,12,Y,Y,Y,
re.RESTRESN,re,Standardized Result in Numeric Format,Variable,RESTRESN,13,Y,Y,Y,
re.RESTRESU,re,Unit of the Standardized Result,Variable,RESTRESU,14,Y,Y,Y,
re.RESTAT,re,Completion Status,Variable,RESTAT,15,Y,Y,Y,
re.REREASND,re,Reason Not Done,Variable,REREASND,16,Y,Y,Y,
re.REMETHOD,re,Method of Test,Variable,REMETHOD,17,Y,Y,Y,
re.RECSTATE,re,Consciousness State,Variable,RECSTATE,18,Y,Y,Y,
re.REBLFL,re,Baseline Flag,Variable,REBLFL,19,Y,Y,Y,
re.REDRVFL,re,Derived Flag,Variable,REDRVFL,20,Y,Y,Y,
re.REEXCLFL,re,Exclusion Flag,Variable,REEXCLFL,21,Y,Y,Y,
re.REREASEX,re,Reason for Exclusion,Variable,REREASEX,22,Y,Y,Y,
re.re,re,Respiratory Test Results,Domain,,23,Y,Y,Y,
re.REUSCHFL,re,Unscheduled Flag,Variable,REUSCHFL,23,Y,Y,Y,
re.REDTC,re,Date/Time of Respiratory Measurement,Variable,REDTC,24,Y,Y,Y,
re.REENDTC,re,End Date/Time of Respiratory Measurement,Variable,REENDTC,25,Y,Y,Y,
re.REDY,re,Study Day of Respiratory Measurement,Variable,REDY,26,Y,Y,Y,
re.REENDY,re,End Study Day of Respiratory Measurement,Variable,REENDY,27,Y,Y,Y,
re.RENOMDY,re,Nominal Study Day for Tabulations,Variable,RENOMDY,28,Y,Y,Y,
re.RENOMLBL,re,Label for Nominal Study Day,Variable,RENOMLBL,29,Y,Y,Y,
re.RETPT,re,Planned Time Point Name,Variable,RETPT,30,Y,Y,Y,
re.RETPTNUM,re,Planned Time Point Number,Variable,RETPTNUM,31,Y,Y,Y,
re.REELTM,re,Planned Elapsed Time from Time Point Ref,Variable,REELTM,32,Y,Y,Y,
re.RETPTREF,re,Time Point Reference,Variable,RETPTREF,33,Y,Y,Y,
re.RERFTDTC,re,Date/Time of Reference Time Point,Variable,RERFTDTC,34,Y,Y,Y,
re.REEVLINT,re,Evaluation Interval,Variable,REEVLINT,35,Y,Y,Y,
re.RESTINT,re,Planned Start of Assessment Interval,Variable,RESTINT,36,Y,Y,Y,
re.REENINT,re,Planned End of Assessment Interval,Variable,REENINT,37,Y,Y,Y,
relrec.STUDYID,relrec,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
relrec.RDOMAIN,relrec,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
relrec.USUBJID,relrec,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
relrec.POOLID,relrec,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
relrec.IDVAR,relrec,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
relrec.IDVARVAL,relrec,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
relrec.RELTYPE,relrec,Relationship Type,Variable,RELTYPE,7,Y,Y,Y,
relrec.RELID,relrec,Relationship Identifier,Variable,RELID,8,Y,Y,Y,
relrec.relrec,relrec,Related Records,Domain,,28,Y,Y,Y,
sc.STUDYID,sc,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
sc.DOMAIN,sc,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
sc.USUBJID,sc,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
sc.SCSEQ,sc,Sequence Number,Variable,SCSEQ,4,Y,Y,Y,
sc.SCGRPID,sc,Group Identifier,Variable,SCGRPID,5,Y,Y,Y,
sc.SCTESTCD,sc,Subject Characteristic Short Name,Variable,SCTESTCD,6,Y,Y,Y,
sc.SCTEST,sc,Subject Characteristic,Variable,SCTEST,7,Y,Y,Y,
sc.SCORRES,sc,Result or Findings as Collected,Variable,SCORRES,8,Y,Y,Y,
sc.SCORRESU,sc,Unit of the Original Result,Variable,SCORRESU,9,Y,Y,Y,
sc.SCSTRESC,sc,Standardized Result in Character Format,Variable,SCSTRESC,10,Y,Y,Y,
sc.SCSTRESN,sc,Standardized Result in Numeric Format,Variable,SCSTRESN,11,Y,Y,Y,
sc.SCSTRESU,sc,Unit of the Standardized Result,Variable,SCSTRESU,12,Y,Y,Y,
sc.SCDTC,sc,Date/Time of Collection,Variable,SCDTC,13,Y,Y,Y,
sc.SCDY,sc,Study Day of Collection,Variable,SCDY,14,Y,Y,Y,
sc.sc,sc,Subject Characteristics,Domain,,18,Y,Y,Y,
sc.RPHASE,sc,Repro Phase,Variable,RPHASE,15,,,Y,
sc.SCRPDY,sc,Actual Repro Phase Day of Observation,Variable,SCRPDY,16,,,Y,
se.STUDYID,se,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
se.DOMAIN,se,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
se.se,se,Subject Elements,Domain,,3,Y,Y,Y,
se.USUBJID,se,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
se.SESEQ,se,Sequence Number,Variable,SESEQ,4,Y,Y,Y,
se.ETCD,se,Element Code,Variable,ETCD,5,Y,Y,Y,
se.ELEMENT,se,Description of Element,Variable,ELEMENT,6,Y,Y,Y,
se.SESTDTC,se,Start Date/Time of Element,Variable,SESTDTC,7,Y,Y,Y,
se.SEENDTC,se,End Date/Time of Element,Variable,SEENDTC,8,Y,Y,Y,
se.SEUPDES,se,Description of Unplanned Element,Variable,SEUPDES,9,Y,Y,Y,
sj.STUDYID,sj,Study Identifier,Variable,STUDYID,1,,,Y,
sj.DOMAIN,sj,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
sj.USUBJID,sj,Unique Subject Identifier,Variable,USUBJID,3,,,Y,
sj.SJSEQ,sj,Sequence Number,Variable,SJSEQ,4,,,Y,
sj.RSTGCD,sj,Repro Stage Code,Variable,RSTGCD,5,,,Y,
sj.RSTAGE,sj,Description of Repro Stage,Variable,RSTAGE,6,,,Y,
sj.SJSTDTC,sj,Start Date/Time of Repro Stage,Variable,SJSTDTC,7,,,Y,
sj.SJENDTC,sj,End Date/Time of Repro Stage,Variable,SJENDTC,8,,,Y,
sj.RPHASE,sj,Repro Phase,Variable,RPHASE,9,,,Y,
sj.SJUPDES,sj,Description of Unplanned Repro Stage,Variable,SJUPDES,10,,,Y,
sj.sj,sj,Subject Repro Stages,Domain,,37,Y,Y,Y,
suppcl.STUDYID,suppcl,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
suppcl.RDOMAIN,suppcl,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
suppcl.USUBJID,suppcl,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
suppcl.POOLID,suppcl,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
suppcl.IDVAR,suppcl,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
suppcl.IDVARVAL,suppcl,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
suppcl.QNAM,suppcl,Qualifier Variable Name,Variable,QNAM,7,Y,Y,Y,
suppcl.QLABEL,suppcl,Qualifier Variable Label,Variable,QLABEL,8,Y,Y,Y,
suppcl.QVAL,suppcl,Data Value,Variable,QVAL,9,Y,Y,Y,
suppcl.QORIG,suppcl,Origin,Variable,QORIG,10,Y,Y,Y,
suppcl.QEVAL,suppcl,Evaluator,Variable,QEVAL,11,Y,Y,Y,
suppcl.suppcl,suppcl,Supplemental Qualifiers for CL,Domain,,29,Y,Y,Y,
suppma.STUDYID,suppma,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
suppma.RDOMAIN,suppma,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
suppma.USUBJID,suppma,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
suppma.POOLID,suppma,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
suppma.IDVAR,suppma,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
suppma.IDVARVAL,suppma,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
suppma.QNAM,suppma,Qualifier Variable Name,Variable,QNAM,7,Y,Y,Y,
suppma.QLABEL,suppma,Qualifier Variable Label,Variable,QLABEL,8,Y,Y,Y,
suppma.QVAL,suppma,Data Value,Variable,QVAL,9,Y,Y,Y,
suppma.QORIG,suppma,Origin,Variable,QORIG,10,Y,Y,Y,
suppma.QEVAL,suppma,Evaluator,Variable,QEVAL,11,Y,Y,Y,
suppma.suppma,suppma,Supplemental Qualifiers for MA,Domain,,33,Y,Y,Y,
suppmi.STUDYID,suppmi,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
suppmi.RDOMAIN,suppmi,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
suppmi.USUBJID,suppmi,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
suppmi.POOLID,suppmi,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
suppmi.IDVAR,suppmi,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
suppmi.IDVARVAL,suppmi,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
suppmi.QNAM,suppmi,Qualifier Variable Name,Variable,QNAM,7,Y,Y,Y,
suppmi.QLABEL,suppmi,Qualifier Variable Label,Variable,QLABEL,8,Y,Y,Y,
suppmi.QVAL,suppmi,Data Value,Variable,QVAL,9,Y,Y,Y,
suppmi.QORIG,suppmi,Origin,Variable,QORIG,10,Y,Y,Y,
suppmi.QEVAL,suppmi,Evaluator,Variable,QEVAL,11,Y,Y,Y,
suppmi.suppmi,suppmi,Supplemental Qualifiers for MI,Domain,,32,Y,Y,Y,
supppc.STUDYID,supppc,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
supppc.RDOMAIN,supppc,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
supppc.USUBJID,supppc,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
supppc.POOLID,supppc,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
supppc.IDVAR,supppc,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
supppc.IDVARVAL,supppc,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
supppc.QNAM,supppc,Qualifier Variable Name,Variable,QNAM,7,Y,Y,Y,
supppc.QLABEL,supppc,Qualifier Variable Label,Variable,QLABEL,8,Y,Y,Y,
supppc.QVAL,supppc,Data Value,Variable,QVAL,9,Y,Y,Y,
supppc.QORIG,supppc,Origin,Variable,QORIG,10,Y,Y,Y,
supppc.QEVAL,supppc,Evaluator,Variable,QEVAL,11,Y,Y,Y,
supppc.supppc,supppc,Supplemental Qualifiers for PC,Domain,,31,Y,Y,Y,
supppp.STUDYID,supppp,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
supppp.RDOMAIN,supppp,Related Domain Abbreviation,Variable,RDOMAIN,2,Y,Y,Y,
supppp.USUBJID,supppp,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
supppp.POOLID,supppp,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
supppp.IDVAR,supppp,Identifying Variable,Variable,IDVAR,5,Y,Y,Y,
supppp.IDVARVAL,supppp,Identifying Variable Value,Variable,IDVARVAL,6,Y,Y,Y,
supppp.QNAM,supppp,Qualifier Variable Name,Variable,QNAM,7,Y,Y,Y,
supppp.QLABEL,supppp,Qualifier Variable Label,Variable,QLABEL,8,Y,Y,Y,
supppp.QVAL,supppp,Data Value,Variable,QVAL,9,Y,Y,Y,
supppp.QORIG,supppp,Origin,Variable,QORIG,10,Y,Y,Y,
supppp.QEVAL,supppp,Evaluator,Variable,QEVAL,11,Y,Y,Y,
supppp.supppp,supppp,Supplemental Qualifiers for PP,Domain,,30,Y,Y,Y,
ta.STUDYID,ta,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
ta.DOMAIN,ta,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
ta.ARMCD,ta,Planned Arm Code,Variable,ARMCD,3,Y,Y,Y,
ta.ARM,ta,Description of Planned Arm,Variable,ARM,4,Y,Y,Y,
ta.TAETORD,ta,Order of Element within Arm,Variable,TAETORD,5,Y,Y,Y,
ta.ETCD,ta,Element Code,Variable,ETCD,6,Y,Y,Y,
ta.ELEMENT,ta,Description of Element,Variable,ELEMENT,7,Y,Y,Y,
ta.TABRANCH,ta,Branch,Variable,TABRANCH,8,Y,Y,Y,
ta.TATRANS,ta,Transition Rule,Variable,TATRANS,9,Y,Y,Y,
ta.EPOCH,ta,Trial Epoch,Variable,EPOCH,10,Y,Y,Y,
ta.ta,ta,Trial Arms,Domain,,25,Y,Y,Y,
te.STUDYID,te,Study Identifier,Variable,STUDYID,2,Y,Y,Y,
te.DOMAIN,te,Domain Abbreviation,Variable,DOMAIN,3,Y,Y,Y,
te.ETCD,te,Element Code,Variable,ETCD,4,Y,Y,Y,
te.ELEMENT,te,Description of Element,Variable,ELEMENT,5,Y,Y,Y,
te.TESTRL,te,Rule for Start of Element,Variable,TESTRL,6,Y,Y,Y,
te.TEENRL,te,Rule for End of Element,Variable,TEENRL,7,Y,Y,Y,
te.TEDUR,te,Planned Duration of Element,Variable,TEDUR,8,Y,Y,Y,
te.te,te,Trial Elements,Domain,,24,Y,Y,Y,
tf.STUDYID,tf,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
tf.DOMAIN,tf,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
tf.USUBJID,tf,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
tf.TFSEQ,tf,Sequence Number,Variable,TFSEQ,4,Y,Y,Y,
tf.TFGRPID,tf,Group Identifier,Variable,TFGRPID,5,Y,Y,Y,
tf.TFREFID,tf,Specimen Identifier,Variable,TFREFID,6,Y,Y,Y,
tf.TFSPID,tf,Mass Identifier,Variable,TFSPID,7,Y,Y,Y,
tf.TFTESTCD,tf,Tumor Examination Short Name,Variable,TFTESTCD,8,Y,Y,Y,
tf.TFTEST,tf,Tumor Examination Name,Variable,TFTEST,9,Y,Y,Y,
tf.TFORRES,tf,Result or Findings as Collected,Variable,TFORRES,10,Y,Y,Y,
tf.TFSTRESC,tf,Standardized Result in Character Format,Variable,TFSTRESC,11,Y,Y,Y,
tf.TFRESCAT,tf,Tumor Malignancy Status,Variable,TFRESCAT,12,Y,Y,Y,
tf.TFNAM,tf,Laboratory Name,Variable,TFNAM,13,Y,Y,Y,
tf.TFSPEC,tf,Specimen Material Type,Variable,TFSPEC,14,Y,Y,Y,
tf.TFANTREG,tf,Anatomical Region of Specimen,Variable,TFANTREG,15,Y,Y,Y,
tf.TFSPCCND,tf,Specimen Condition,Variable,TFSPCCND,16,Y,Y,Y,
tf.TFLAT,tf,Specimen Laterality within Subject,Variable,TFLAT,17,Y,Y,Y,
tf.TFDIR,tf,Specimen Directionality within Subject,Variable,TFDIR,18,Y,Y,Y,
tf.tf,tf,Tumor Findings,Domain,,19,Y,Y,Y,
tf.TFMETHOD,tf,Method of Test or Examination,Variable,TFMETHOD,19,Y,Y,Y,
tf.TFEVAL,tf,Evaluator,Variable,TFEVAL,20,Y,Y,Y,
tf.TFDTHREL,tf,Relationship to Death,Variable,TFDTHREL,21,Y,Y,Y,
tf.TFDTC,tf,Date/Time,Variable,TFDTC,22,Y,Y,Y,
tf.TFDY,tf,Study Day,Variable,TFDY,23,Y,Y,Y,
tf.TFDETECT,tf,Time in Days to Detection of Tumor,Variable,TFDETECT,24,Y,Y,Y,
tp.STUDYID,tp,Study Identifier,Variable,STUDYID,1,,,Y,
tp.DOMAIN,tp,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
tp.RPATHCD,tp,Planned Repro Path Code,Variable,RPATHCD,3,,,Y,
tp.RPATH,tp,Description of Planned Repro Path,Variable,RPATH,4,,,Y,
tp.TPSTGORD,tp,Order of Repro Stage within Repro Path,Variable,TPSTGORD,5,,,Y,
tp.RSTGCD,tp,Repro Stage Code,Variable,RSTGCD,6,,,Y,
tp.RSTAGE,tp,Description of Repro Stage,Variable,RSTAGE,7,,,Y,
tp.TPBRANCH,tp,Branch,Variable,TPBRANCH,8,,,Y,
tp.RPHASE,tp,Repro Phase,Variable,RPHASE,9,,,Y,
tp.RPRFDY,tp,Repro Phase Start Reference Day,Variable,RPRFDY,10,,,Y,
tp.tp,tp,Trial Repro Paths,Domain,,35,,,Y,
ts.STUDYID,ts,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
ts.DOMAIN,ts,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
ts.TSSEQ,ts,Sequence Number,Variable,TSSEQ,3,Y,Y,Y,
ts.TSGRPID,ts,Group Identifier,Variable,TSGRPID,4,Y,Y,Y,
ts.TSPARMCD,ts,Trial Summary Parameter Short Name,Variable,TSPARMCD,5,Y,Y,Y,
ts.TSPARM,ts,Trial Summary Parameter,Variable,TSPARM,6,Y,Y,Y,
ts.TSVAL,ts,Parameter Value,Variable,TSVAL,7,Y,Y,Y,
ts.TSVALNF,ts,Parameter Null Flavor,Variable,TSVALNF,8,Y,Y,Y,
ts.ts,ts,Trial Summary,Domain,,27,Y,Y,Y,
tt.STUDYID,tt,Study Identifier,Variable,STUDYID,1,,,Y,
tt.DOMAIN,tt,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
tt.RSTGCD,tt,Repro Stage Code,Variable,RSTGCD,3,,,Y,
tt.RSTAGE,tt,Description of Repro Stage,Variable,RSTAGE,4,,,Y,
tt.TTSTRL,tt,Rule for Start of Repro Stage,Variable,TTSTRL,5,,,Y,
tt.TTENRL,tt,Rule for End of Repro Stage,Variable,TTENRL,6,,,Y,
tt.TTDUR,tt,Planned Duration of Repro Stage,Variable,TTDUR,7,,,Y,
tt.tt,tt,Trial Repro Stages,Domain,,36,,,Y,
tx.STUDYID,tx,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
tx.DOMAIN,tx,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
tx.SETCD,tx,Set Code,Variable,SETCD,3,Y,Y,Y,
tx.SET,tx,Set Description,Variable,SET,4,Y,Y,Y,
tx.TXSEQ,tx,Sequence Number,Variable,TXSEQ,5,Y,Y,Y,
tx.TXPARMCD,tx,Trial Set Parameter Short Name,Variable,TXPARMCD,6,Y,Y,Y,
tx.TXPARM,tx,Trial Set Parameter,Variable,TXPARM,7,Y,Y,Y,
tx.TXVAL,tx,Trial Set Parameter Value,Variable,TXVAL,8,Y,Y,Y,
tx.tx,tx,Trial Sets,Domain,,26,Y,Y,Y,
vs.STUDYID,vs,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
vs.DOMAIN,vs,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
vs.USUBJID,vs,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
vs.VSSEQ,vs,Sequence Number,Variable,VSSEQ,4,Y,Y,Y,
vs.VSGRPID,vs,Group Identifier,Variable,VSGRPID,5,Y,Y,Y,
vs.VSSPID,vs,Sponsor-Defined Identifier,Variable,VSSPID,6,Y,Y,Y,
vs.VSTESTCD,vs,Vital Signs Test Short Name,Variable,VSTESTCD,7,Y,Y,Y,
vs.VSTEST,vs,Vital Signs Test Name,Variable,VSTEST,8,Y,Y,Y,
vs.VSCAT,vs,Category for Vital Signs,Variable,VSCAT,9,Y,Y,Y,
vs.VSSCAT,vs,Subcategory for Vital Signs,Variable,VSSCAT,10,Y,Y,Y,
vs.VSPOS,vs,Vital Signs Position of Subject,Variable,VSPOS,11,Y,Y,Y,
vs.VSORRES,vs,Result or Findings as Collected,Variable,VSORRES,12,Y,Y,Y,
vs.VSORRESU,vs,Unit of the Original Result,Variable,VSORRESU,13,Y,Y,Y,
vs.VSSTRESC,vs,Standardized Result in Character Format,Variable,VSSTRESC,14,Y,Y,Y,
vs.VSSTRESN,vs,Standardized Result in Numeric Format,Variable,VSSTRESN,15,Y,Y,Y,
vs.VSSTRESU,vs,Unit of the Standardized Result,Variable,VSSTRESU,16,Y,Y,Y,
vs.VSSTAT,vs,Completion Status,Variable,VSSTAT,17,Y,Y,Y,
vs.VSREASND,vs,Reason Not Done,Variable,VSREASND,18,Y,Y,Y,
vs.VSLOC,vs,Location of Vital Signs Measurement,Variable,VSLOC,19,Y,Y,Y,
vs.vs,vs,Vital Signs,Domain,,20,Y,Y,Y,
vs.VSCSTATE,vs,Consciousness State,Variable,VSCSTATE,20,Y,Y,Y,
vs.VSBLFL,vs,Baseline Flag,Variable,VSBLFL,21,Y,Y,Y,
vs.VSDRVFL,vs,Derived Flag,Variable,VSDRVFL,22,Y,Y,Y,
vs.VSEXCLFL,vs,Exclusion Flag,Variable,VSEXCLFL,23,Y,Y,Y,
vs.VSREASEX,vs,Reason for Exclusion,Variable,VSREASEX,24,Y,Y,Y,
vs.VSUSCHFL,vs,Unscheduled Flag,Variable,VSUSCHFL,25,Y,Y,Y,
vs.VISITDY,vs,Planned Study Day of Collection,Variable,VISITDY,26,Y,Y,Y,
vs.VSDTC,vs,Date/Time of Measurement,Variable,VSDTC,27,Y,Y,Y,
vs.VSENDTC,vs,End Date/Time of Measurement,Variable,VSENDTC,28,Y,Y,Y,
vs.VSDY,vs,Study Day of Vital Signs Measurement,Variable,VSDY,29,Y,Y,Y,
vs.VSENDY,vs,Study Day of End of Measurement,Variable,VSENDY,30,Y,Y,Y,
vs.VSNOMDY,vs,Nominal Study Day for Tabulations,Variable,VSNOMDY,31,Y,Y,Y,
vs.VSNOMLBL,vs,Label for Nominal Study Day,Variable,VSNOMLBL,32,Y,Y,Y,
vs.VSTPT,vs,Planned Time Point Name,Variable,VSTPT,33,Y,Y,Y,
vs.VSTPTNUM,vs,Planned Time Point Number,Variable,VSTPTNUM,34,Y,Y,Y,
vs.VSELTM,vs,Planned Elapsed Time from Time Point Ref,Variable,VSELTM,35,Y,Y,Y,
vs.VSTPTREF,vs,Time Point Reference,Variable,VSTPTREF,36,Y,Y,Y,
vs.VSRFTDTC,vs,Date/Time of Time Point Reference,Variable,VSRFTDTC,37,Y,Y,Y,
